iter	Passed	Remaining
0	151	151546
1	152	76084
2	153	50928
3	154	38350
4	154	30803
5	155	25779
6	156	22184
7	157	19479
8	157	17379
9	158	15696
10	159	14328
11	160	13176
12	160	12205
13	161	11359
14	161	10622
15	162	9982
16	163	9432
17	163	8938
18	164	8501
19	165	8104
20	166	7742
21	166	7412
22	167	7108
23	168	6834
24	168	6577
25	169	6343
26	169	6123
27	170	5926
28	171	5737
29	172	5561
30	172	5397
31	173	5240
32	173	5093
33	174	4956
34	175	4826
35	175	4705
36	176	4589
37	177	4481
38	177	4375
39	178	4277
40	178	4184
41	179	4097
42	180	4012
43	180	3930
44	181	3853
45	182	3778
46	182	3706
47	183	3637
48	183	3570
49	184	3507
50	185	3447
51	185	3388
52	186	3333
53	187	3279
54	187	3226
55	188	3177
56	189	3128
57	189	3080
58	190	3035
59	190	2990
60	191	2948
61	192	2907
62	192	2867
63	193	2828
64	193	2790
65	194	2753
66	195	2719
67	195	2680
68	196	2646
69	196	2615
70	197	2583
71	198	2552
72	198	2523
73	199	2493
74	199	2465
75	200	2438
76	201	2411
77	201	2385
78	202	2361
79	203	2334
80	203	2310
81	204	2286
82	204	2263
83	205	2239
84	205	2215
85	206	2194
86	206	2171
87	207	2152
88	208	2132
89	208	2112
90	209	2093
91	210	2074
92	210	2056
93	211	2039
94	212	2021
95	212	2004
96	213	1986
97	213	1969
98	214	1953
99	215	1936
100	215	1920
101	216	1902
102	216	1887
103	217	1873
104	217	1857
105	218	1843
106	219	1830
107	219	1816
108	220	1802
109	221	1789
110	221	1776
111	222	1764
112	223	1751
113	223	1738
114	224	1726
115	224	1713
116	225	1702
117	226	1690
118	226	1678
119	227	1667
120	228	1656
121	228	1646
122	229	1634
123	229	1623
124	230	1613
125	231	1603
126	231	1593
127	232	1581
128	232	1571
129	233	1562
130	234	1552
131	234	1543
132	235	1534
133	235	1524
134	236	1516
135	237	1507
136	237	1499
137	238	1489
138	239	1481
139	239	1473
140	240	1465
141	241	1457
142	241	1449
143	242	1441
144	243	1433
145	243	1425
146	244	1417
147	245	1410
148	245	1403
149	246	1395
150	247	1389
151	247	1381
152	248	1374
153	248	1367
154	249	1361
155	250	1354
156	250	1347
157	251	1340
158	252	1334
159	253	1328
160	253	1322
161	254	1315
162	254	1309
163	255	1303
164	256	1296
165	256	1290
166	257	1284
167	258	1278
168	258	1272
169	259	1265
170	259	1260
171	260	1254
172	261	1248
173	261	1243
174	262	1238
175	263	1232
176	263	1227
177	264	1222
178	265	1216
179	265	1211
180	266	1204
181	266	1199
182	267	1194
183	268	1189
184	268	1185
185	269	1180
186	270	1175
187	271	1171
188	271	1166
189	272	1161
190	273	1157
191	273	1152
192	274	1147
193	275	1143
194	275	1139
195	276	1134
196	277	1130
197	277	1125
198	278	1121
199	279	1117
200	280	1113
201	280	1109
202	281	1104
203	281	1100
204	282	1096
205	283	1092
206	283	1087
207	284	1083
208	285	1079
209	285	1075
210	286	1071
211	287	1067
212	287	1063
213	288	1059
214	288	1055
215	289	1050
216	290	1047
217	290	1043
218	291	1039
219	292	1035
220	292	1031
221	293	1028
222	293	1024
223	294	1020
224	295	1017
225	296	1013
226	296	1010
227	297	1006
228	297	1002
229	298	1000
230	299	996
231	300	993
232	300	989
233	301	986
234	302	983
235	302	980
236	303	976
237	304	973
238	304	970
239	305	966
240	305	963
241	306	960
242	307	957
243	307	953
244	308	950
245	308	946
246	309	943
247	310	940
248	310	937
249	311	934
250	312	931
251	312	928
252	313	925
253	314	922
254	314	920
255	315	917
256	316	914
257	317	911
258	317	908
259	318	906
260	319	903
261	320	901
262	320	898
263	321	895
264	321	893
265	322	890
266	323	887
267	323	884
268	324	882
269	325	879
270	325	876
271	326	873
272	327	871
273	327	868
274	328	866
275	329	863
276	329	861
277	330	858
278	331	856
279	332	853
280	332	851
281	333	848
282	333	846
283	334	843
284	335	841
285	335	838
286	336	836
287	337	833
288	337	831
289	338	828
290	339	826
291	339	823
292	340	821
293	341	818
294	341	816
295	342	814
296	343	812
297	343	809
298	344	807
299	345	805
300	345	802
301	346	800
302	347	798
303	347	796
304	348	794
305	349	791
306	349	789
307	350	787
308	351	785
309	351	782
310	352	780
311	353	778
312	353	776
313	354	773
314	354	771
315	355	769
316	356	767
317	356	765
318	357	762
319	357	760
320	358	758
321	359	756
322	359	754
323	360	752
324	361	750
325	361	748
326	362	746
327	363	744
328	363	742
329	364	740
330	365	738
331	365	736
332	366	734
333	367	731
334	367	729
335	368	727
336	368	725
337	369	723
338	370	721
339	370	719
340	371	717
341	371	715
342	372	713
343	373	711
344	373	709
345	374	707
346	375	705
347	375	703
348	376	701
349	376	699
350	377	697
351	378	696
352	378	694
353	379	692
354	380	691
355	381	689
356	381	687
357	382	685
358	383	684
359	383	682
360	384	680
361	385	679
362	386	677
363	386	676
364	387	674
365	388	672
366	389	671
367	389	669
368	390	667
369	391	665
370	391	664
371	392	662
372	393	660
373	393	659
374	394	657
375	395	655
376	395	654
377	396	652
378	397	650
379	397	648
380	398	647
381	398	645
382	399	643
383	400	641
384	400	640
385	401	638
386	402	636
387	402	635
388	403	633
389	403	631
390	404	630
391	405	628
392	405	626
393	406	625
394	407	623
395	407	621
396	408	620
397	408	618
398	409	616
399	410	615
400	410	613
401	411	612
402	412	610
403	412	608
404	413	607
405	413	605
406	414	604
407	415	602
408	415	601
409	416	599
410	417	597
411	417	596
412	418	594
413	419	593
414	419	591
415	420	590
416	420	588
417	421	586
418	422	585
419	422	583
420	423	582
421	424	580
422	424	579
423	425	577
424	425	576
425	426	574
426	427	573
427	427	571
428	428	570
429	428	568
430	429	567
431	430	565
432	430	564
433	431	562
434	432	561
435	432	559
436	433	558
437	433	556
438	434	555
439	435	553
440	435	552
441	436	550
442	437	549
443	437	548
444	438	546
445	438	545
446	439	543
447	440	542
448	440	540
449	441	539
450	442	538
451	442	536
452	443	535
453	443	533
454	444	532
455	445	531
456	445	529
457	446	528
458	447	527
459	447	525
460	448	524
461	449	523
462	449	521
463	450	520
464	451	519
465	451	517
466	452	516
467	453	515
468	453	513
469	454	512
470	454	511
471	455	509
472	456	508
473	456	506
474	457	505
475	458	504
476	458	502
477	459	501
478	459	500
479	460	498
480	461	497
481	461	496
482	462	494
483	463	493
484	463	492
485	464	491
486	465	490
487	465	488
488	466	487
489	467	486
490	468	485
491	468	483
492	469	482
493	469	481
494	470	479
495	471	478
496	471	477
497	472	476
498	472	474
499	473	473
500	474	472
501	475	471
502	475	470
503	476	468
504	477	467
505	477	466
506	478	465
507	479	464
508	480	463
509	480	461
510	481	460
511	482	459
512	482	458
513	483	457
514	484	456
515	484	454
516	485	453
517	486	452
518	486	451
519	487	450
520	488	448
521	488	447
522	489	446
523	490	445
524	491	444
525	491	443
526	492	442
527	493	441
528	494	440
529	494	438
530	495	437
531	496	436
532	497	435
533	497	434
534	498	433
535	499	432
536	500	431
537	500	430
538	501	429
539	502	427
540	502	426
541	503	425
542	504	424
543	504	423
544	505	422
545	506	420
546	506	419
547	507	418
548	508	417
549	508	416
550	509	415
551	510	414
552	510	413
553	511	411
554	512	410
555	513	409
556	513	408
557	514	407
558	515	406
559	516	405
560	517	404
561	518	403
562	518	402
563	519	401
564	520	400
565	520	399
566	521	398
567	522	397
568	523	396
569	523	395
570	524	394
571	525	393
572	526	391
573	526	390
574	527	389
575	528	388
576	529	387
577	529	386
578	530	385
579	531	384
580	532	383
581	532	382
582	533	381
583	534	380
584	535	379
585	535	378
586	536	377
587	537	376
588	538	375
589	538	374
590	539	373
591	540	372
592	541	371
593	542	370
594	543	369
595	543	368
596	544	367
597	545	366
598	546	365
599	547	364
600	547	363
601	548	362
602	549	361
603	550	360
604	550	359
605	551	358
606	552	357
607	553	356
608	553	355
609	554	354
610	555	353
611	556	352
612	557	351
613	558	350
614	559	350
615	559	349
616	560	348
617	561	347
618	562	345
619	562	344
620	563	343
621	563	342
622	564	341
623	565	340
624	565	339
625	566	338
626	567	337
627	567	336
628	568	335
629	568	334
630	569	333
631	570	332
632	571	331
633	571	329
634	572	329
635	573	328
636	574	327
637	574	326
638	575	325
639	576	324
640	576	323
641	577	322
642	578	321
643	578	320
644	579	319
645	580	318
646	581	317
647	581	315
648	582	314
649	582	313
650	583	312
651	584	311
652	584	310
653	585	309
654	586	308
655	587	307
656	588	306
657	588	306
658	589	305
659	590	304
660	590	303
661	591	302
662	592	301
663	593	300
664	593	299
665	594	298
666	595	297
667	596	296
668	596	295
669	597	294
670	598	293
671	598	292
672	599	291
673	600	290
674	601	289
675	601	288
676	602	287
677	603	286
678	603	285
679	604	284
680	605	283
681	605	282
682	606	281
683	607	280
684	607	279
685	608	278
686	609	277
687	609	276
688	610	275
689	611	274
690	611	273
691	612	272
692	613	271
693	613	270
694	614	269
695	615	268
696	615	267
697	616	266
698	617	265
699	617	264
700	618	263
701	619	262
702	619	261
703	620	260
704	621	259
705	621	258
706	622	257
707	622	256
708	623	255
709	624	254
710	624	254
711	625	253
712	626	252
713	627	251
714	627	250
715	628	249
716	629	248
717	629	247
718	630	246
719	631	245
720	631	244
721	632	243
722	633	242
723	633	241
724	634	240
725	635	239
726	635	238
727	636	237
728	636	236
729	637	235
730	638	234
731	638	233
732	639	232
733	640	232
734	640	231
735	641	230
736	642	229
737	642	228
738	643	227
739	644	226
740	644	225
741	645	224
742	646	223
743	646	222
744	647	221
745	648	220
746	648	219
747	649	218
748	650	217
749	650	216
750	651	216
751	652	215
752	652	214
753	653	213
754	654	212
755	654	211
756	655	210
757	656	209
758	656	208
759	657	207
760	658	206
761	658	205
762	659	204
763	660	203
764	660	203
765	661	202
766	662	201
767	662	200
768	663	199
769	664	198
770	664	197
771	665	196
772	666	195
773	666	194
774	667	193
775	668	192
776	668	191
777	669	191
778	670	190
779	670	189
780	671	188
781	671	187
782	672	186
783	673	185
784	673	184
785	674	183
786	675	182
787	675	181
788	676	180
789	677	180
790	677	179
791	678	178
792	679	177
793	679	176
794	680	175
795	681	174
796	681	173
797	682	172
798	683	171
799	684	171
800	684	170
801	685	169
802	686	168
803	686	167
804	687	166
805	688	165
806	689	164
807	689	163
808	690	163
809	691	162
810	691	161
811	692	160
812	693	159
813	693	158
814	694	157
815	695	156
816	695	155
817	696	154
818	696	154
819	697	153
820	698	152
821	699	151
822	699	150
823	700	149
824	701	148
825	701	147
826	702	146
827	703	146
828	703	145
829	704	144
830	705	143
831	705	142
832	706	141
833	707	140
834	707	139
835	708	138
836	709	138
837	709	137
838	710	136
839	711	135
840	711	134
841	712	133
842	713	132
843	714	131
844	714	131
845	715	130
846	715	129
847	716	128
848	717	127
849	717	126
850	718	125
851	719	124
852	719	124
853	720	123
854	722	122
855	722	121
856	723	120
857	724	119
858	725	119
859	725	118
860	726	117
861	727	116
862	728	115
863	728	114
864	729	113
865	730	112
866	730	112
867	731	111
868	732	110
869	732	109
870	733	108
871	734	107
872	734	106
873	735	106
874	736	105
875	736	104
876	737	103
877	738	102
878	739	101
879	740	100
880	740	100
881	741	99
882	742	98
883	742	97
884	743	96
885	744	95
886	744	94
887	745	94
888	746	93
889	746	92
890	747	91
891	748	90
892	748	89
893	749	88
894	750	88
895	751	87
896	751	86
897	752	85
898	753	84
899	754	83
900	754	82
901	755	82
902	756	81
903	756	80
904	757	79
905	758	78
906	758	77
907	759	76
908	760	76
909	760	75
910	761	74
911	762	73
912	762	72
913	763	71
914	764	70
915	765	70
916	765	69
917	766	68
918	767	67
919	768	66
920	768	65
921	769	65
922	770	64
923	770	63
924	771	62
925	772	61
926	773	60
927	773	60
928	774	59
929	775	58
930	775	57
931	776	56
932	777	55
933	778	54
934	778	54
935	779	53
936	779	52
937	780	51
938	781	50
939	781	49
940	782	49
941	783	48
942	783	47
943	784	46
944	785	45
945	785	44
946	786	44
947	787	43
948	787	42
949	788	41
950	789	40
951	789	39
952	790	38
953	791	38
954	791	37
955	792	36
956	793	35
957	793	34
958	794	33
959	795	33
960	796	32
961	796	31
962	797	30
963	798	29
964	798	28
965	799	28
966	799	27
967	800	26
968	801	25
969	801	24
970	802	23
971	803	23
972	803	22
973	804	21
974	804	20
975	805	19
976	806	18
977	807	18
978	807	17
979	808	16
980	809	15
981	809	14
982	810	14
983	811	13
984	812	12
985	812	11
986	813	10
987	814	9
988	815	9
989	816	8
990	816	7
991	817	6
992	818	5
993	818	4
994	819	4
995	819	3
996	820	2
997	821	1
998	822	0
999	822	0
