iter	Passed	Remaining
0	104	104729
1	111	55748
2	116	38744
3	121	30143
4	125	25040
5	129	21521
6	132	18776
7	133	16556
8	134	14794
9	137	13582
10	138	12479
11	143	11834
12	144	10997
13	146	10296
14	147	9657
15	148	9109
16	149	8649
17	150	8235
18	154	7953
19	155	7628
20	156	7317
21	158	7028
22	159	6788
23	161	6551
24	162	6318
25	163	6125
26	166	5983
27	167	5813
28	168	5651
29	170	5501
30	172	5401
31	173	5261
32	175	5139
33	177	5041
34	181	4991
35	185	4969
36	188	4918
37	191	4853
38	194	4793
39	196	4725
40	200	4693
41	204	4660
42	205	4572
43	207	4504
44	208	4432
45	210	4356
46	212	4313
47	217	4313
48	222	4311
49	224	4262
50	225	4192
51	226	4127
52	231	4144
53	233	4093
54	234	4034
55	236	3978
56	236	3919
57	238	3880
58	242	3868
59	243	3813
60	245	3774
61	247	3739
62	248	3698
63	249	3654
64	251	3612
65	252	3567
66	252	3522
67	254	3481
68	255	3441
69	256	3406
70	259	3399
71	261	3371
72	264	3353
73	265	3322
74	266	3287
75	268	3262
76	269	3229
77	271	3215
78	273	3188
79	274	3160
80	275	3130
81	277	3109
82	278	3076
83	280	3054
84	281	3034
85	283	3010
86	284	2987
87	287	2974
88	289	2963
89	293	2967
90	295	2948
91	298	2941
92	299	2918
93	300	2897
94	302	2886
95	304	2867
96	305	2841
97	307	2830
98	312	2841
99	317	2857
100	319	2840
101	321	2827
102	324	2826
103	327	2822
104	331	2823
105	334	2822
106	336	2805
107	337	2786
108	340	2783
109	345	2793
110	350	2806
111	351	2788
112	353	2778
113	354	2758
114	359	2766
115	362	2761
116	365	2758
117	366	2741
118	367	2723
119	368	2705
120	370	2695
121	371	2675
122	372	2659
123	375	2653
124	376	2638
125	379	2629
126	382	2626
127	386	2633
128	390	2639
129	393	2630
130	394	2618
131	397	2614
132	400	2612
133	401	2597
134	404	2592
135	411	2614
136	416	2621
137	417	2607
138	419	2596
139	420	2582
140	423	2578
141	425	2573
142	429	2573
143	431	2565
144	433	2557
145	435	2544
146	436	2532
147	439	2528
148	440	2517
149	442	2504
150	445	2504
151	449	2505
152	451	2496
153	454	2498
154	456	2486
155	457	2473
156	458	2463
157	459	2450
158	462	2445
159	463	2434
160	464	2419
161	465	2410
162	467	2400
163	469	2393
164	470	2381
165	471	2370
166	475	2369
167	476	2358
168	477	2347
169	479	2342
170	482	2336
171	483	2326
172	484	2316
173	485	2305
174	486	2295
175	487	2282
176	488	2271
177	489	2262
178	492	2256
179	493	2246
180	494	2235
181	495	2226
182	496	2215
183	497	2207
184	500	2202
185	501	2192
186	504	2194
187	506	2187
188	507	2178
189	509	2173
190	515	2182
191	518	2183
192	521	2178
193	522	2170
194	523	2162
195	524	2153
196	526	2144
197	527	2135
198	528	2128
199	529	2118
200	531	2111
201	533	2106
202	535	2103
203	537	2096
204	540	2096
205	542	2089
206	543	2083
207	545	2076
208	546	2067
209	547	2060
210	548	2052
211	560	2082
212	562	2077
213	565	2075
214	567	2072
215	569	2065
216	570	2057
217	571	2050
218	574	2050
219	578	2049
220	581	2050
221	584	2047
222	587	2047
223	592	2053
224	593	2045
225	595	2038
226	596	2031
227	598	2027
228	599	2019
229	601	2012
230	602	2004
231	603	1997
232	604	1989
233	605	1982
234	606	1974
235	607	1967
236	611	1969
237	613	1965
238	616	1963
239	620	1964
240	623	1962
241	625	1958
242	626	1951
243	627	1944
244	630	1942
245	633	1940
246	634	1934
247	636	1928
248	638	1925
249	640	1921
250	641	1915
251	644	1911
252	646	1908
253	648	1903
254	651	1904
255	653	1898
256	657	1900
257	660	1898
258	661	1891
259	664	1891
260	665	1884
261	667	1878
262	668	1872
263	669	1865
264	670	1858
265	671	1852
266	674	1851
267	676	1848
268	678	1842
269	679	1836
270	680	1830
271	681	1823
272	682	1817
273	683	1811
274	685	1806
275	686	1799
276	688	1795
277	690	1793
278	693	1792
279	695	1788
280	700	1792
281	703	1792
282	704	1785
283	705	1779
284	708	1778
285	709	1772
286	711	1767
287	713	1764
288	714	1758
289	717	1756
290	719	1752
291	720	1746
292	722	1742
293	723	1737
294	727	1738
295	729	1735
296	733	1735
297	734	1729
298	735	1724
299	736	1719
300	739	1717
301	741	1712
302	742	1707
303	744	1703
304	745	1698
305	746	1694
306	748	1688
307	749	1683
308	750	1678
309	751	1672
310	754	1672
311	757	1669
312	759	1666
313	761	1663
314	762	1658
315	763	1653
316	765	1649
317	766	1643
318	770	1644
319	774	1646
320	776	1642
321	777	1637
322	780	1635
323	784	1636
324	788	1637
325	792	1638
326	796	1639
327	800	1641
328	802	1636
329	803	1631
330	806	1630
331	809	1627
332	811	1625
333	813	1622
334	818	1624
335	819	1619
336	821	1615
337	821	1609
338	823	1604
339	824	1599
340	827	1598
341	829	1596
342	832	1595
343	834	1590
344	837	1589
345	839	1587
346	840	1582
347	844	1583
348	846	1578
349	847	1573
350	849	1570
351	851	1566
352	852	1562
353	853	1557
354	854	1552
355	855	1547
356	856	1542
357	859	1541
358	862	1539
359	863	1535
360	866	1533
361	870	1534
362	872	1531
363	873	1527
364	875	1522
365	876	1518
366	880	1519
367	884	1518
368	886	1515
369	889	1514
370	892	1513
371	893	1509
372	898	1510
373	900	1507
374	903	1505
375	904	1501
376	908	1501
377	912	1500
378	913	1496
379	914	1491
380	915	1487
381	918	1485
382	919	1481
383	921	1478
384	923	1474
385	924	1470
386	925	1466
387	927	1462
388	928	1458
389	933	1460
390	937	1460
391	938	1456
392	940	1452
393	941	1448
394	943	1444
395	943	1439
396	945	1435
397	946	1431
398	947	1427
399	951	1427
400	954	1425
401	956	1422
402	958	1419
403	963	1421
404	969	1424
405	970	1420
406	973	1418
407	976	1416
408	978	1413
409	981	1412
410	985	1412
411	989	1412
412	994	1414
413	999	1415
414	1004	1416
415	1007	1414
416	1009	1411
417	1011	1408
418	1013	1405
419	1015	1402
420	1016	1398
421	1018	1394
422	1019	1390
423	1023	1390
424	1024	1386
425	1028	1386
426	1032	1385
427	1036	1385
428	1041	1386
429	1043	1382
430	1043	1378
431	1045	1374
432	1046	1370
433	1050	1370
434	1051	1365
435	1053	1363
436	1054	1358
437	1055	1354
438	1056	1350
439	1058	1346
440	1059	1342
441	1060	1338
442	1062	1335
443	1063	1331
444	1064	1327
445	1065	1323
446	1068	1321
447	1069	1317
448	1070	1314
449	1071	1310
450	1073	1306
451	1077	1306
452	1081	1305
453	1085	1304
454	1088	1303
455	1092	1303
456	1094	1300
457	1096	1297
458	1099	1296
459	1102	1294
460	1103	1290
461	1104	1286
462	1105	1282
463	1106	1278
464	1107	1274
465	1108	1270
466	1109	1266
467	1112	1264
468	1113	1261
469	1115	1257
470	1117	1255
471	1121	1254
472	1123	1251
473	1127	1251
474	1130	1249
475	1130	1244
476	1133	1242
477	1135	1239
478	1136	1235
479	1138	1233
480	1139	1230
481	1141	1226
482	1144	1225
483	1147	1223
484	1152	1223
485	1154	1220
486	1156	1217
487	1160	1217
488	1164	1216
489	1166	1214
490	1169	1212
491	1171	1209
492	1173	1206
493	1174	1202
494	1175	1199
495	1176	1195
496	1177	1192
497	1179	1188
498	1183	1188
499	1184	1184
500	1185	1180
501	1187	1178
502	1192	1178
503	1194	1175
504	1195	1172
505	1197	1168
506	1201	1168
507	1202	1164
508	1204	1161
509	1205	1158
510	1208	1156
511	1209	1153
512	1210	1149
513	1211	1145
514	1212	1142
515	1214	1138
516	1216	1136
517	1218	1133
518	1221	1131
519	1222	1128
520	1223	1125
521	1225	1122
522	1228	1120
523	1230	1117
524	1232	1115
525	1233	1111
526	1235	1108
527	1236	1105
528	1237	1101
529	1240	1099
530	1241	1096
531	1242	1092
532	1244	1090
533	1245	1087
534	1249	1085
535	1253	1085
536	1255	1082
537	1258	1080
538	1259	1076
539	1260	1073
540	1262	1070
541	1264	1068
542	1266	1065
543	1270	1065
544	1272	1062
545	1274	1059
546	1287	1065
547	1288	1062
548	1290	1059
549	1291	1056
550	1292	1053
551	1296	1052
552	1298	1049
553	1300	1047
554	1302	1043
555	1303	1040
556	1307	1040
557	1309	1037
558	1312	1035
559	1313	1031
560	1316	1030
561	1319	1027
562	1322	1026
563	1325	1024
564	1327	1021
565	1328	1018
566	1334	1019
567	1338	1018
568	1342	1016
569	1343	1013
570	1345	1010
571	1346	1007
572	1347	1004
573	1351	1002
574	1355	1002
575	1359	1000
576	1360	997
577	1361	993
578	1363	991
579	1364	988
580	1365	984
581	1366	981
582	1369	979
583	1371	977
584	1374	975
585	1376	972
586	1378	969
587	1379	966
588	1380	963
589	1382	960
590	1383	957
591	1384	954
592	1386	951
593	1388	948
594	1389	945
595	1390	942
596	1392	940
597	1394	937
598	1396	934
599	1400	933
600	1401	930
601	1405	929
602	1407	926
603	1410	924
604	1415	923
605	1419	922
606	1421	920
607	1423	917
608	1424	914
609	1428	913
610	1432	911
611	1433	908
612	1435	906
613	1436	903
614	1439	900
615	1441	898
616	1443	895
617	1444	892
618	1447	891
619	1449	888
620	1450	885
621	1451	882
622	1456	881
623	1458	879
624	1459	875
625	1463	874
626	1467	872
